"ID_R","ID_C","supid","yr","n","latn","lonn","demn","ban","arean","duran","mortn","m0.fitted.n","sp.fitted.n"
4,6,1,9,171222,40.2896701723493,-120.789751207497,1935.93516890353,36.936039294016,0.112824286598685,33.042523741108,0.014974711193655,-1.51402569513464,-1.81049742337267
1,7,1,9,37669,41.8658956137673,-120.204924390746,1621.98478749104,21.3076654543524,0.148291698744326,33.9423929491093,0.0228569911598397,-1.57727647974077,-1.90244880213475
3,7,1,9,56263,40.9104831883298,-120.261008844623,1780.11217087606,20.6853560954802,0.0843893855642252,43.2404599825818,0.0016351776478325,-1.3368990909318,-1.85725947722812
4,7,1,9,160794,40.3078517777405,-120.306464132679,1781.75138885779,26.3805832929089,0.0971242708061246,24.1934587111459,0.00629998631789743,-1.92384738791209,-2.33758307068469
7,7,1,9,89128,38.7619757539718,-120.280488454807,782.209751817611,30.4209101516919,0.119064715914191,24.2421012476438,0.0038147383538282,-1.91291926585536,-2.21044220518603
1,8,1,9,31007,41.7052001362596,-119.641222647305,1856.0940039346,32.0973480181894,0.0715322346566904,20.0246718482923,0.0017737930144806,-2.04327711775013,-2.38108838658554
2,8,1,9,62842,41.2859786249642,-119.693528511982,1972.28318783616,33.2629421406066,0.0926132204576557,27.2612743069921,0.00552178479360937,-1.76860364955464,-2.19169437600335
5,8,1,9,115403,39.8256453742537,-119.782539909058,1979.83307808289,19.8580757865913,0.0841832534682807,28.4321898044245,0.0177291751514259,-1.84423608650484,-2.11637571270609
6,8,1,9,9617,39.4665030024956,-119.721117227306,2051.39787563689,27.0602433191224,0.0959758760528231,26.4846625766871,0.00779868982011022,-1.79104694241038,-2.12892215189607
7,8,1,9,137948,38.7899892531969,-119.808392927045,1937.2948959028,40.5603017078899,0.120081479977963,21.2109563023748,0.00924986226694117,-1.99702339740638,-1.86882120259935
8,8,1,9,20235,38.3020918272795,-119.838180287868,1396.02240721522,25.5901008154188,0.279515690635038,36.2380034593526,0.0135408944897455,-1.48304422460609,-1.7839498126738
7,9,1,9,12949,38.8675126940304,-119.474461107035,1964.95321260329,2.62997297088578,0.0779983010271063,19.9148196771952,0.00440188431539115,-2.35416549320615,-2.47782522761712
8,9,1,9,95755,38.2732711411937,-119.282197568012,2419.10689718553,44.181426035194,0.0360085635214871,30.6034985118271,0.046869615163699,-1.55475578465173,-1.52881416899849
9,9,1,9,54500,37.8147809633028,-119.283737385321,1648.64924477064,19.9413014678899,0.0584770642201835,30.3720917431193,0.0473394495412844,-1.71830525658403,-1.79445083157925
